Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM (64x12),LSRAM (20K),Chip Globals,PLL
CLOCKS_AND_RESETS_inst_0/CORERESET_CLK_125MHz/CORERESET_0/Primitives,1,16,0,0,0,0,0,0,0,0
CLOCKS_AND_RESETS_inst_0/CORERESET_CLK_50MHz/CORERESET_PF_C5_0/Primitives,0,16,0,0,0,0,0,0,0,0
CLOCKS_AND_RESETS_inst_0/PF_CCC_C0_0/PF_CCC_C0_0/Primitives,0,0,0,0,0,0,0,0,2,1
CLOCKS_AND_RESETS_inst_0/PF_CLK_DIV_C0_0/PF_CLK_DIV_C0_0/I_CD_1/Primitives,0,0,0,0,0,0,0,0,1,0
CLOCKS_AND_RESETS_inst_0/Primitives,1,0,0,0,0,0,0,0,0,0
FIC_CONVERTER_0/CoreAPB3_C0_0/CoreAPB3_C0_0/Primitives,2,0,0,0,0,0,0,0,0,0
FIC_CONVERTER_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/Primitives,2,0,0,0,0,0,0,0,0,0
MSS/DDR_A0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_A1_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_A2_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_A3_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_A4_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_A5_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_CKE0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_CS0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DM0_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DM1_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DM2_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DM3_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ0_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ10_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ11_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ12_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ13_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ14_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ15_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ16_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ17_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ18_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ19_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
