pin,slack
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[0]:ALn,4409
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[0]:CLK,5348
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[0]:D,4090
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[0]:EN,5236
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/RDATA_r[0]:Q,5348
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf[153]:CLK,4596
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf[153]:D,224
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf[153]:Q,4596
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf[153]:SLn,2786
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3_1_0[167]:A,3032
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3_1_0[167]:B,1685
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3_1_0[167]:C,1619
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3_1_0[167]:D,224
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3_1_0[167]:Y,224
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/sc_r_RNIIPFLM2[3]:A,5779
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/sc_r_RNIIPFLM2[3]:B,5620
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/sc_r_RNIIPFLM2[3]:C,5578
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/sc_r_RNIIPFLM2[3]:CC,5550
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/sc_r_RNIIPFLM2[3]:P,5578
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/sc_r_RNIIPFLM2[3]:S,5550
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/sc_r_RNIIPFLM2[3]:Y3,
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/sc_r_RNIIPFLM2[3]:Y3A,5648
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3[91]:A,224
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3[91]:B,6175
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3[91]:C,3672
top_ddr_write_0/jpeg_top_1/u_jls/j_bbuf_3[91]:Y,224
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/REMPTY_ASSIGN_PROC.un6_rgnext_0_I_28_i:A,4213
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/REMPTY_ASSIGN_PROC.un6_rgnext_0_I_28_i:B,2836
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/REMPTY_ASSIGN_PROC.un6_rgnext_0_I_28_i:C,2742
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/REMPTY_ASSIGN_PROC.un6_rgnext_0_I_28_i:Y,2742
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[27]:ALn,4409
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[27]:CLK,5683
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[27]:D,3095
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[27]:EN,2609
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/wr_addr_ptr[27]:Q,5683
top_ddr_write_0/H264_DDR_WRITE_0/data_packer_h264_0/GENERATE_DATA_PACK.0.DATA_PACK_PROC.s_data_arr_0[11]:ALn,6364
top_ddr_write_0/H264_DDR_WRITE_0/data_packer_h264_0/GENERATE_DATA_PACK.0.DATA_PACK_PROC.s_data_arr_0[11]:CLK,5789
top_ddr_write_0/H264_DDR_WRITE_0/data_packer_h264_0/GENERATE_DATA_PACK.0.DATA_PACK_PROC.s_data_arr_0[11]:D,6959
top_ddr_write_0/H264_DDR_WRITE_0/data_packer_h264_0/GENERATE_DATA_PACK.0.DATA_PACK_PROC.s_data_arr_0[11]:EN,5775
