
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. VKPFSOC_TOP, 5174, 3161, 3220, 0, 0, 15, 1, 10, 113
.	. CLOCKS_AND_RESETS, 32, 1, 0, 0, 0, 0, 0, 2, 0
.	.	. CORERESET, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_PF_C5, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_PF_C5_CORERESET_PF_C5_0_CORERESET_PF, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. INIT_MONITOR_INIT_MONITOR_0_PFSOC_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	.	.	. PF_CCC_C0_PF_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	.	. PF_CLK_DIV_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PF_CLK_DIV_C0_PF_CLK_DIV_C0_0_PF_CLK_DIV, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_OSC_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PF_OSC_C0_PF_OSC_C0_0_PF_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_XCVR_REF_CLK_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PF_XCVR_REF_CLK_C0_PF_XCVR_REF_CLK_C0_0_PF_XCVR_REF_CLK, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. FIC_CONVERTER, 0, 34, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_C0, 0, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAPB3_Z1_layer0, 0, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAPB3_MUXPTOB3, 0, 32, 0, 0, 0, 0, 0, 0, 0
.	. MSS_VIDEO_KIT_H264, 0, 0, 0, 0, 0, 0, 0, 0, 88
.	. Video_Pipeline, 5142, 3125, 3220, 0, 0, 15, 1, 8, 1
.	.	. IMX334_IF_TOP, 3785, 2117, 2455, 0, 0, 0, 0, 8, 1
.	.	.	. CAM_IOD_TIP_TOP, 3751, 2115, 2455, 0, 0, 0, 0, 5, 1
.	.	.	.	. CORERESET_PF_C1_0, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. CORERESET_PF_C1_CORERESET_PF_C1_0_CORERESET_PF_1, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CORERXIODBITALIGN_C1_0, 767, 469, 499, 0, 0, 0, 0, 0, 0
