Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM (64x12),LSRAM (20K),Math (18x18),Chip Globals,PLL,DLL
CLOCKS_AND_RESETS_inst_0/CORERESET_CLK_125MHz/CORERESET_0/Primitives,1,16,0,0,0,0,0,0,0,0,0,0
CLOCKS_AND_RESETS_inst_0/CORERESET_CLK_50MHz/CORERESET_PF_C5_0/Primitives,0,16,0,0,0,0,0,0,0,0,0,0
CLOCKS_AND_RESETS_inst_0/CORERESET_PF_DDR4_0/CORERESET_PF_DDR4_0/Primitives,1,17,0,0,0,0,0,0,0,0,0,0
CLOCKS_AND_RESETS_inst_0/PF_CCC_C0_0/PF_CCC_C0_0/Primitives,0,0,0,0,0,0,0,0,0,2,1,0
CLOCKS_AND_RESETS_inst_0/PF_CLK_DIV_C0_0/PF_CLK_DIV_C0_0/I_CD_1/Primitives,0,0,0,0,0,0,0,0,0,1,0,0
CLOCKS_AND_RESETS_inst_0/Primitives,3,0,0,0,0,0,0,0,0,0,0,0
FIC_CONVERTER_0/CoreAPB3_C0_0/CoreAPB3_C0_0/Primitives,1,0,0,0,0,0,0,0,0,0,0,0
FIC_CONVERTER_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/Primitives,9,0,0,0,0,0,0,0,0,0,0,0
MSS/DDR_A0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/DDR_A1_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/DDR_A2_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/DDR_A3_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/DDR_A4_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/DDR_A5_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/DDR_CKE0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/DDR_CS0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
