SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
2,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
3,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
4,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
5,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
6,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
7,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
8,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
9,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
10,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
11,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
12,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
13,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
14,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
15,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
16,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
17,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
18,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
